polymer,convention,solute,solvent,A_logP_concentration,B_logP_concentration,delta_B_minus_A,A_logP_x,B_logP_x,sign_changed
pp,existing,DEHP,tert-butanol,0.014435858602711349,-0.2042679172673897,-0.21870377587010104,-0.5500570127374417,-0.7898773033160907,True
pvc,existing,DEP,"2,3-dihydropyran",0.3733711917345671,-0.13765279266833297,-0.5110239844029001,-0.20985226432865364,-0.724833799777749,True
pvc,existing,DEP,2-butanone,0.4664693642315756,-0.11751787903861588,-0.5839872432701915,-0.13948957530205644,-0.7332573667404442,True
pvc,existing,DEP,acetic acid,0.03779420459515981,-0.5959151865796971,-0.6337093911748569,-0.7259389143266574,-1.3625164310069418,True
pvc,existing,DEP,acetone,0.6214611701148554,-0.018306760718589166,-0.6397679308334445,-0.07897711396955487,-0.7251224519820143,True
pvc,existing,DEP,acetylacetone,0.16265761033799192,-0.44755505230821335,-0.6102126626462052,-0.3427059777254902,-0.9675323742120406,True
pvc,existing,DEP,benzene,0.4024605798629757,-0.07013410694037303,-0.4725946868033487,-0.19315935936172254,-0.6650556400813764,True
pvc,existing,DEP,dimethyl sulfoxide,0.235326669776873,-0.2996351786012187,-0.5349618483780917,-0.40601955256531985,-0.9534006408253337,True
pvc,existing,DEP,ethyl acetate,0.3539727339572546,-0.2019177775533072,-0.5558905115105618,-0.21302020152709464,-0.7710975960614508,True
pvc,existing,DEP,isopropylamine,0.07682095527317945,-0.18006877306128632,-0.2568897283344658,-0.5715049569447287,-0.8426068402164753,True
pvc,existing,DEP,methylacetate,0.47430254754528867,-0.09889022816668003,-0.5731927757119687,-0.17648137312246312,-0.7543988891299578,True
pvc,existing,DEP,"n,n-dimethylformamide",0.5290131927876432,-0.08520959158217367,-0.6142227843698169,-0.09918681819334907,-0.7209130399187655,True
pvc,existing,DEP,o-xylene,0.02150304490739241,-0.4531109458812549,-0.4746139907886473,-0.428705016591421,-0.9114023033076892,True
pvc,existing,DEP,tetrahydropyran,0.3435328102428584,-0.14349670494574474,-0.48702951518860316,-0.21810804286756888,-0.7117779702170453,True
pvc,existing,DEP,toluene,0.16887401375411282,-0.30764674651141344,-0.47652076026552626,-0.3467832182712588,-0.8274446383029169,True
pvc,existing,DBP,2-butanone,0.6023454756789616,-0.10570805408904194,-0.7080535297680035,-0.003613463854670384,-0.7214475417908702,True
pvc,existing,DBP,acetone,0.7090041450228824,-0.06486786543189382,-0.7738720104547763,0.008565860938472216,-0.771683556695319,True
pvc,existing,DBP,acetylacetone,0.05394575678335933,-0.6529029155497821,-0.7068486723331414,-0.4514178312801228,-1.1728802374536094,True
pvc,existing,DBP,dimethyl sulfoxide,0.13058134792024445,-0.5225233421732461,-0.6531046900934906,-0.5107648744219484,-1.1762888043973612,True
