convention,solute,solvent,A_retention_order_most_first,B_retention_order_most_first,Spearman_rho,Kendall_tau,A_top_polymer,B_top_polymer,top_changed,A_top_gap_log_units,B_top_gap_log_units
normalized,DEHP,o-xylene,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949919,0.14567942310128157
normalized,DEHP,tert-butanol,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949918,0.1456794231012816
normalized,DEHP,tetrahydrofuran,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949917,0.14567942310128168
normalized,DEHP,tetrahydropyran,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949919,0.14567942310128146
normalized,DEHP,toluene,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949919,0.14567942310128157
normalized,DEHP,triethylamine,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949919,0.14567942310128157
normalized,DEHP,water,pvdf>pvc>pe>pp>evoh>nylon6>nylon66,pvc>pe>pvdf>pp>evoh>nylon6>nylon66,0.8928571428571429,0.8095238095238096,pvdf,pvc,True,0.3062770295949928,0.14567942310128323
existing,DEHP,"1,2-propanediol",pvdf>pp>pvc>pe>nylon6>evoh>nylon66,pvc>pvdf>pp>pe>evoh>nylon6>nylon66,0.8571428571428573,0.7142857142857143,pvdf,pvc,True,1.014230167698201,0.09563286187909492
existing,DEHP,1-propanol,pvdf>pp>pvc>pe>nylon6>evoh>nylon66,pvc>pvdf>pp>pe>evoh>nylon6>nylon66,0.8571428571428573,0.7142857142857143,pvdf,pvc,True,1.014230167698201,0.09563286187909514
existing,DEHP,"2,3-dihydropyran",pvdf>pp>pvc>pe>nylon6>evoh>nylon66,pvc>pvdf>pp>pe>evoh>nylon6>nylon66,0.8571428571428573,0.7142857142857143,pvdf,pvc,True,1.0142301676982013,0.09563286187909525
existing,DEHP,2-butanone,pvdf>pp>pvc>pe>nylon6>evoh>nylon66,pvc>pvdf>pp>pe>evoh>nylon6>nylon66,0.8571428571428573,0.7142857142857143,pvdf,pvc,True,1.014230167698201,0.09563286187909525
