entry_id,A_energy_hartree,B_energy_hartree,B_OPT_energy_hartree,A_cavity_cm3_mol,B_cavity_cm3_mol,A_surface_sha256,B_surface_sha256,A_relative_energy_kj_mol,A_weight_298K,B_relative_energy_kj_mol,B_weight_298K,B_OPT_relative_energy_kj_mol,B_OPT_weight_298K
pe__config_1010,-473.1870830854,-473.104251571982,-473.09462202676,158.30181098979116,155.854844417836,69ae7303fb209b045d1b0c10a59386c904cc32f68769128a9a8b9cb4a1b4eee8,fe11393a5fcf1bc938a7be857a6e5be97354c3ac33541b1a8e1b2a5843f43399,14.002777552938392,0.0011388173014150308,14.463549381595012,0.000985684163955704,14.095159042134517,0.0011215891674334582
pe__config_1130,-473.1846192282,-473.101866890991,-473.09221432945,158.43209981168465,156.31213711863847,8c0b5efc2557c81f5f774655b088856c581a6ca53587dc4cbbfc0dcc66cda61e,b2c23709f5394eb5288b73513efb56c1a76fa78048fe0526e2daaffb709d8512,20.471633743227475,8.378369003000744e-05,20.72452846370213,7.886089474368282e-05,20.416567461641616,8.757314873083163e-05
pe__config_1600,-473.189699761,-473.106910614039,-473.097207467718,158.65073516349224,156.67915597222873,2410352a150cd15472f56e1063967f9e0dcf2e89be2694f58d86356fb946beb2,92decc00fa697f3536c86e2652b97cd47274bd569b122de7133c2e6f35e10e22,7.1326967085150565,0.01819869085042167,7.482235419530462,0.016474455489824444,7.307084739007329,0.01734015489730854
pe__config_1720,-473.1857453151,-473.102889079936,-473.093257364168,158.49456705505824,155.7992945527467,4cbeb77729537b3a424b73350005c8338d09a01914777a2934e2d761c2a7fb55,7305be455b2173b32df867fb38892f1b5f6e1c2b01d9f58164e49357f5515e9b,17.5150929932514,0.0002761359898521974,18.040771757122098,0.00023282817457287214,17.678080185543863,0.0002643219193067119
pe__config_1940,-473.1884495986,-473.105546850481,-473.095855191527,158.58469836335445,155.96744187058403,c132067aec8e3bb5e456b7538a231ceaf9e250c70abf835240bf2834499cec85,1d8da7a517c0946b6a08591c422670f6c589846f8c007a0d8b3d646b0a28499a,10.414997638926746,0.004841789488619823,11.062796149405628,0.003886189454095564,10.857485391028773,0.00414047044816646
pe__config_1950,-473.1871303674,-473.104228565891,-473.094559735989,158.29645665464483,155.97038794411233,2185fc10d3c1d87ff696104179a10577778d12b0c925d02ab02fea0be03003ed,81fad87449ba2b2778c3e83fc523e7c6c01df8f1ab1d3add1d88242adb7000cb,13.878638678917655,0.0011972979704136977,14.52395186521736,0.0009619571387566382,14.258703439045082,0.0010499825160357507
pe__config_1960,-473.1871303674,-473.104228568212,-473.094559735154,158.29645665464483,155.97052960090167,d8cad4d73d4d2f3344e60f61484ce922767e5e0b029dc3c09f55b444d0054923,172fc22ea2112d4d5dc175bccc64655f48a25d4391243dd9b5670e497e18a886,13.878638678917655,0.0011972979704136977,14.523945771352674,0.0009619595034784838,14.25870563126634,0.0010499815875029254
pe__config_1990,-473.183215616,-473.100380731869,-473.090720717695,158.2625458653849,155.9982869348622,59672d6ba36e4f743be8f94b705a5c8c7a344e2c26f2fadc30441415c9ceaa6c,2b50cd2a1389dae84216fcba29bd705ff409a0de0a9b547f9c41b71461614898,24.15681706835496,1.894712401460504e-05,24.626438702748274,1.6340923675985046e-05,24.338044585904118,1.8003539528458057e-05
pe__config_2070,-473.1871303674,-473.104228540968,-473.09455973377,158.29645665464483,155.97058508894764,92598b6af8c811b6ce2347d8b6431802b7434a7732da6350021ecd0892d1bed2,28be5c68153c5080ec4a2bcc2e368733b48f7395590c6cd80fab27ae0a8f2d65,13.878638678917655,0.0011972979704136977,14.524017300536997,0.0009619317469723762,14.258709265019704,0.0010499800483994707
pe__config_2180,-473.1858302539,-473.102994233326,-473.093379625227,158.29556426545378,156.15038010627583,3952d177b66803ac799f2d0d8afbbf6e7ea66295c0f1846dcd0051fd96e37c56,a023d76a74ce99f0e97ec61184e19e1a876f2ca8daee0a430ca4af7d143b7bf6,17.29208620447197,0.00030212879088662884,17.7646915695991,0.0002602571618724109,17.357083819204295,0.00030086336565957316
pe__config_270,-473.1872816852,-473.104412762092,-473.094762038081,158.473149714473,156.1470430093106,c924beab1620323b89af48fe2986cc39a6cacd886cbd40b9476e298ced9bc8aa,c948f9be48705d41f26a5dbdd9ce5cc90e129e26be91c61596098a77bbd1a2b7,13.481353849635195,0.0014054116107312133,14.040344805848541,0.0011691763263978368,13.72755936937911,0.0013008717498373488
pe__config_2890,-473.187034975,-473.104180887173,-473.094552075279,158.46333343337147,156.18448551714067,4a5041ac98a0c29c07ddb3bc20a27aeda507e507081dc9ed88d79cc363c02f3a,1c3a31f6dc6979c8e8544d38b44836cebed24baba82d4623af0e7c76d7b60d37,14.129091390723293,0.0010822431098940991,14.64913232207525,0.0009145870646607495,14.278816630305812,0.001041497876350532
pe__config_3190,-473.1897003215,-473.106894190235,-473.09722514845,158.41960636300993,156.25418757555505,8af33596bb7ad26d6bd848b56f9e694799399448132f29d9eb956d11626c18d3,f9d93b1143d0b52429ed51f3c2c04e0fa0f0c7a95f098c95e026453ffa4b0dee,7.13122511585936,0.018209497415490397,7.525356111082237,0.016190365419732643,7.260663983626842,0.017667924598167784
pe__config_3410,-473.1924164617,-473.109760436427,-473.099990589311,159.02196906696963,157.3137232220447,ccd80a91b22b18da6a3510410b1e821208ce1241797820c0783169cec4b2b1d4,da615b8739fef93a20d28cdc0e443cb019fba0de2bc38da24976ddb52478bddf,0.0,0.3233214719693633,2.776729021567421e-05,0.3370056152928321,0.0,0.33052082918916265
pe__config_4140,-473.191060247,-473.108272120244,-473.098546259391,158.51330722807035,156.32801475315733,d4c592280a93a72fb5d6cad84e4dcf7cea5a22c512e9f34ae6ea16d2cb0c0c38,b9fc4ab26b518e95c6feea51e11facfcb73ac8222ee4b285f2e8a039eea45842,3.5607412059712416,0.0768811157166038,3.9076013691513434,0.06967225392577284,3.7920876842266797,0.07159023930244061
pe__config_4170,-473.1910602506,-473.108272114767,-473.098546260138,158.51330722807035,156.32801160828862,e7f6f1d217c8f1d4331a987537aef8996a3a9872b54ddd9f2f90a6107d34fef3,ebb25ded07e9ce82bac983377a37bb4a2db8eab568765dad1d5c0f8552358cc0,3.560731754153102,0.07688140885105542,3.907615749101972,0.06967184977166535,3.79208572303262,0.07159029594013377
pe__config_4300,-473.191036539,-473.108357543931,-473.098625091521,158.70249373657322,156.55736590214536,738c10b4c25aa94f1d895eb1f830088f30ac4677db6e78687cc9e0535a169574,89b21db91f6131aa2fdc5ef9d1e152306f9b8fa9b16ec1fe0be8fe31b0ff09ee,3.6229865514626827,0.0749747048142781,3.6833215097751633,0.07626969185592143,3.585113955367705,0.07782408847022075
pe__config_5010,-473.1858137572,-473.10305877795,-473.093410854196,158.39372707646945,156.37743579681546,99fb09f175d8cd3946ae059e50a92f8ec0d3d0633be8458954ca40ad12402528,f3524598d976e84c0215d9abf080d9e60e5a30050e4490974045e324549173da,17.335398284446377,0.00029689587560033777,17.59522968249329,0.0002786705839206806,17.275092172297246,0.0003109808344603193
pe__config_6040,-473.1924164617,-473.109760447003,-473.099990588325,159.02196906696963,157.30482566828726,ca85c9ffd2984a2de167e6d031e1551fdc90f7cd93fb59d81e5b55ae673085fb,e8f6ccdbad5d898091ae08060169f4d4f7533dc2c06f8df73007c2ae234536cd,0.0,0.3233214719693633,0.0,0.3370093901808279,2.5887582493407048e-06,0.33052048402865114
pe__config_6210,-473.1896825454,-473.106895710393,-473.097190109433,158.53561695784663,156.40993606153103,eb48f41c6b1a2ae92bce2818cc35fd491b6ec4bf10e35a1969abf63ee198fcc4,7ad6b16fbc72dcfcd3a961ad972b323812ba11ccf281a272863e3c639d430ff9,7.1778962600986,0.017869875577546965,7.52136493670471,0.01621645325321677,7.352658910146361,0.017024278814158526
pe__config_7260,-473.1897471308,-473.106946831294,-473.097247508145,158.49099749829404,156.34782795777792,fa7fe9fd8ea393d4d09df4886d359ff4483cd47ae562f461dc38d85f05e075c7,f10d7218191da68306609d307e9378f8aee5fee289941a9e5867d21fbf3263e8,7.008327315616228,0.019135011274632033,7.387147029581735,0.01711866268588589,7.2019586123664245,0.018091320737402803
pe__config_7520,-473.1884920985,-473.105628621546,-473.095925773775,158.57131252548868,156.4337136059884,93502eb095e3d56d09eecb7b8c5ab24e05a4718969db6632b157db59633d8757,0d67e4230e32c7e1b9c1d739c23c33a0789be69d4e0c0e28ccbb05205ec74c90,10.30341416689867,0.005064708817813679,10.848106247807344,0.004237756633653233,10.67217172438827,0.004461852806176949
pe__config_7530,-473.1884920985,-473.105628676867,-473.095925741737,158.57131252548868,156.43442950406728,1bbdf00526fe28dde08c6faff59fd3f17608c930b2a8121e9fc7465c48b33e09,558fb1b2f1de9bb9d926502ecc6849424c9cd732d77d88d49a75a806cf5a04f8,10.30341416689867,0.005064708817813679,10.847961002440925,0.0042380049366855,10.672255840077591,0.0044617014096611915
