inchikey,name,cas,array_index,job_id,status,dft_converged,failure_mode,error,atoms,heavy_atoms,rotatable_bonds,stratum,selection_role,node,cpu_model,cpu_generation,geometry_cycles,opt_wall_seconds,cosmo_wall_seconds,total_orca_wall_seconds,orca_internal_opt_seconds,orca_internal_cosmo_seconds,orca_internal_total_seconds,elapsed_seconds,slurm_state,slurm_elapsed_seconds,maxrss_kib,surface_bytes,returned_bytes,surface_sha256,inchikey_after_optimization,predicted_seconds,residual_seconds,observed_predicted_ratio,log_residual,attempt_seconds
CJPNQUBNSDHCSV-UHFFFAOYSA-N,"Pyrimido[4',5':5,6][1,2,4]triazino[4,3-b]indazole-2,4-diamine, N2,N2-dimethyl-N4-(1-methylethyl)-8-nitro-",38432-19-8,28,54154_28,converged,True,,,44,27,4,39-46,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,25,4557.888323689811,937.6719712661579,5495.560294955969,4557.79,937.624,5495.414,5496.061960563995,COMPLETED,5496,1203692.0,504533,522214,5078a57d221b14537ca3aad21b6d4f90a1295bcc355b74edd11de3c20559597c,CJPNQUBNSDHCSV-UHFFFAOYSA-N,3444.807051650008,2050.753243305961,1.595317302989055,0.5741750187388952,5496.061960563995
DGBWPZSGHAXYGK-UHFFFAOYSA-N,"Bisbenzimidazo[2,1-b:2',1'-i]benzo[lmn][3,8]phenanthroline-8,17-dione",4424-06-0,29,54154_29,converged,True,,,44,32,0,39-46,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,5,1291.9062221413478,1101.1859363531694,2393.092158494517,1291.858,1101.147,2393.005,2393.4508256949484,COMPLETED,2394,1319488.0,529318,546340,12416c6a94a71d9ceabbfe67b2cb0f211d8909df9ce474f7d61ab241cbe5fc72,DGBWPZSGHAXYGK-UHFFFAOYSA-N,3444.807051650008,-1051.7148931554907,0.6946955584488438,-0.257179208540661,2393.4508256949484
LSHROXHEILXKHM-UHFFFAOYSA-N,Pentaethylenehexamine,4067-16-7,30,54154_30,converged,True,,,44,16,13,39-46,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,9,702.5629881164059,308.0564152719453,1010.6194033883512,702.498,307.975,1010.4730000000001,1010.8517547529191,COMPLETED,1011,999024.0,447526,464454,17f1ad5b84bc7f99a7fcd12e03473319d3124655fef580a60c89d2673b95ecf2,LSHROXHEILXKHM-UHFFFAOYSA-N,3444.807051650008,-2434.1876482616567,0.2933747487843421,-1.1192021148627562,1010.8517547529191
UCVPKAZCQPRWAY-UHFFFAOYSA-N,Dibenzyl phthalate,523-31-9,31,54154_31,converged,True,,,44,26,6,39-46,additional_aromatic_ester_dibenzyl_phthalate,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,22,3966.200470949523,884.576746112667,4850.77721706219,3966.029,884.537,4850.566,4851.214896555059,COMPLETED,4851,1171716.0,540414,557841,3cab52d49ea7793e9b867e3a6743b9671b5124f90530e7bab0c77b0f8ec7aa6a,UCVPKAZCQPRWAY-UHFFFAOYSA-N,3444.807051650008,1405.9701654121823,1.4081419203838268,0.4493734146273951,4851.214896555059
IRIAEXORFWYRCZ-UHFFFAOYSA-N,Benzyl butyl phthalate,85-68-7,32,54154_32,converged,True,,,43,23,7,39-46,BBP,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,33,4796.459054943174,637.4425575351343,5433.901612478308,4796.283,637.412,5433.695000000001,5434.394687701017,COMPLETED,5434,1092116.0,508830,526266,8d35233e9b0e92cbafbdb95fd4eaa56bb8631f305802dfe85e8f2a942da60a1b,IRIAEXORFWYRCZ-UHFFFAOYSA-N,3266.9620711586235,2166.939541319685,1.6632888580035405,0.6158992483065493,5434.394687701017
DOIRQSBPFJWKBE-UHFFFAOYSA-N,Dibutyl Phthalate,84-74-2,33,54154_33,converged,True,,,42,20,8,39-46,DBP,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,17,2081.033673641272,685.0730926766992,2766.106766317971,2080.933,684.997,2765.93,2766.5283953342587,COMPLETED,2767,1035120.0,483531,500211,9eb48822be98f05682b89338c583802d55e3dbfb38bf3fb59e948618cd6570bd,DOIRQSBPFJWKBE-UHFFFAOYSA-N,3094.436448332142,-328.3296820141709,0.8938967765225438,-0.005062606733734931,2766.5283953342587
OOHPORRAEMMMCX-UHFFFAOYSA-N,Dodecahedrane,4493-23-6,34,54154_34,failed,True,identity_unresolved_stereochemistry,Geometry identity not accepted under current policy; see identity_observations,40,20,0,39-46,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,4,735.1711485181004,807.351808800362,1542.5229573184624,735.082,807.321,1542.403,1542.912380034104,COMPLETED,1544,917388.0,342256,358211,2027b28ae6c4eb79303d61376d1ea9ec8cb2e8bd4bc2f755991d00da9ec4b488,OOHPORRAEMMMCX-XXVPZYELSA-N,2765.1901154743045,-1222.6671581558421,0.5578361316592072,-0.4765876643482505,1542.912380034104
CLYVDMAATCIVBF-UHFFFAOYSA-N,"3,4,9,10-Perylenetetracarboxylic dianhydride",128-69-8,35,54154_35,converged,True,,,38,30,0,31-38,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,6,1309.5033999532461,993.1460675513372,2302.6494675045833,1309.448,993.097,2302.545,2303.299481121823,COMPLETED,2304,1255276.0,473377,488971,546af8e6a124a9ddb61879669539e5660cce0f6d3fa30ba097e1770f4dbdac96,CLYVDMAATCIVBF-UHFFFAOYSA-N,2456.755214337611,-154.10574683302775,0.9372726489258403,0.04232130788416022,2303.299481121823
OEURXIFGOPBMJF-UHFFFAOYSA-N,2-Acryloyloxyethyl 2-hydroxyethyl phthalate,38056-88-1,36,54154_36,converged,True,,,38,22,8,31-38,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,30,3858.0033226534724,546.7567000417039,4404.760022695176,3857.768,546.724,4404.492,4405.139707844704,COMPLETED,4405,993688.0,450595,466855,fd3b4885d61ce8eb8c4b04a3c670989e87db6d3b4c02afcd4ee3751a9a694641,OEURXIFGOPBMJF-UHFFFAOYSA-N,2456.755214337611,1948.0048083575653,1.792917746541869,0.6909466850471571,4405.139707844704
YFVXLROHJBSEDW-UHFFFAOYSA-N,Disperse Orange 1,2581-69-3,37,54154_37,converged,True,,,38,24,5,31-38,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,14,1921.6330845020711,506.36697190534323,2428.0000564074144,1921.566,506.29,2427.856,2428.2065985184163,COMPLETED,2428,1087040.0,476313,492224,70802341c5bcc753a7cb1cb5b4d45a8ea9ed16e0873d110f773b6fc00474baad,YFVXLROHJBSEDW-UHFFFAOYSA-N,2456.755214337611,-28.755157930196674,0.9882954729220145,0.09532880196160676,2428.2065985184163
FAGUFWYHJQFNRV-UHFFFAOYSA-N,Tetraethylenepentamine,112-57-2,38,54154_38,converged,True,,,36,13,10,31-38,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,12,710.5395423043519,243.75135307013988,954.2908953744918,710.483,243.677,954.16,954.8567348802462,COMPLETED,955,696556.0,367406,382560,bb1ddc819758bb321dac95a272e87c638e34b0ea6be2a725eebff3cc6f5a54ac,FAGUFWYHJQFNRV-UHFFFAOYSA-N,2168.8078412973805,-1214.5169459228887,0.44000712151779897,-0.7138620006891419,954.8567348802462
OEVIJAZJVZDBQL-UHFFFAOYSA-N,"1-(5,5-Dimethyl-1-cyclohexen-1-yl)-4-penten-1-one",56973-85-4,39,54154_39,converged,True,,,34,14,4,31-38,descriptor_diversity,euler145.engr.wisc.edu,AMD EPYC 7763 64-Core Processor,milan,7,541.3169638207182,314.64112032204866,855.9580841427669,541.242,314.608,855.8499999999999,856.2720618974417,COMPLETED,856,823192.0,357139,371757,6a963c5d8d1b9369bed7c30545a4ddf35a31178242f6d664cc658013655cb43a,OEVIJAZJVZDBQL-UHFFFAOYSA-N,1901.012020732972,-1045.053936590205,0.45026442484710627,-0.6908178917780887,856.2720618974417
