solute,solvent,A_existing_product_logP_concentration,B_same_convention_logP_concentration,delta_B_minus_A,A_logP_x,B_logP_x,sign_changed,A_solvent_volume_cm3_mol,B_solvent_volume_cm3_mol,A_volume_source,B_volume_source,A_PE_volume_cm3_mol,B_PE_volume_cm3_mol
DEP,"1,2-propanediol",-0.0510245354260494,0.056301025889993195,0.1073255613160426,-0.4600742108090005,-0.3709004135825964,True,61.93894896652309,58.71260810815485,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,1-propanol,0.34468442520058945,0.33994649697816,-0.004737928222429466,-0.1125992668081921,-0.12855550548972622,False,55.428077429239885,53.38642135984787,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,"2,3-dihydropyran",0.946833139320328,0.8542633608074998,-0.09256977851282822,0.5792796637235325,0.47907732848389595,False,68.14908534645096,66.1830503911641,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,2-butanone,1.0399313118173366,0.8743982744372168,-0.1655330373801197,0.6496423527501296,0.47065376152120086,False,64.67322944764092,61.970970774354896,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,acetic acid,0.6112561521809207,0.3960009668961356,-0.21525518528478504,0.06319301372552867,-0.15860530274529694,False,44.97284566788983,43.78511983835725,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,acetone,1.1949231177006163,0.9736093927572436,-0.22131372494337276,0.7101548140826313,0.4787886762796306,False,52.02896700085286,50.24722660293855,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,acetylacetone,0.7361195579237528,0.5443611011676194,-0.19175845675613346,0.44642595032669585,0.23637875404960423,False,81.53046126497641,77.25924596796884,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,benzene,0.9759225274487366,0.9217820465354596,-0.054140480913277056,0.5959725686904636,0.5388554881802685,False,66.23134097506642,65.01390524875977,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,chloroform,3.8924210398399497,2.0348172571121594,-1.8576037827277903,3.4955140400204407,1.6297790069572093,False,63.6951708943429,61.78663766064612,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,cyclohexane,0.04369866415217072,-0.019868452035102513,-0.06356711618727323,-0.2756638855493359,-0.3454492687634233,True,76.14667727588244,74.19113166845356,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,cyclohexanol,0.07720534733393804,0.10632796896820061,0.029122621634262574,-0.09850229438440884,-0.06429897810274647,False,106.0,106.0,table,existing product table,158.85961547235075,157.01198796538378
DEP,dichloromethane,2.734545512068567,1.6062927504937732,-1.1282527615747937,2.339711979069337,1.216539912141943,False,64.0,64.0,table,existing product table,158.85961547235075,157.01198796538378
DEP,dimethyl sulfoxide,0.808788617362634,0.6922809748746139,-0.11650764248802004,0.3831123754868663,0.2505104874363111,False,59.61249034567642,56.77567744384933,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,diphenyl ether,0.5705761054424792,0.4426083276934329,-0.12796777774904627,0.4848443959603098,0.3472569361784749,False,130.40126291900287,126.06119532135739,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,dodecane,-0.4198988584701411,-0.4563089827443536,-0.03641012427421253,-0.3987975626827748,-0.46118152025598447,False,166.76879961841385,155.26024774607131,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,ethanol,0.41866924427421803,0.3781160135893452,-0.04055323068487282,-0.15545307691029855,-0.20388535422963863,False,42.35368339240653,41.10848242559007,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,ethyl acetate,0.9274346815430154,0.7899983759225254,-0.13743630562049003,0.5761117265250915,0.43281353220019414,False,70.74415311377821,68.98393575193623,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,ethylene glycol,-0.3429989221084717,-0.24004534815652034,0.10295357395195137,-0.8568067017866825,-0.7629216647467264,False,48.66376736172253,47.10385980617775,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,heptane,-0.16043638504841456,-0.22576260119042746,-0.0653262161420129,-0.3569954559026264,-0.44005848626616395,False,101.03094986595126,95.85989021197611,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,hexane,-0.24736224463140588,-0.3342949885998422,-0.08693274396843631,-0.3291198623365863,-0.4109719116576229,False,131.6,131.6,table,existing product table,158.85961547235075,157.01198796538378
DEP,isopropanol,0.34902175023346566,0.3866556554526131,0.037633905219147445,-0.10521014145414591,-0.08326530473396258,False,55.81894389488271,53.212278100899375,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,isopropylamine,0.6502829028589404,0.8118473804145465,0.1615644775556061,0.2176269711074574,0.36130428804516973,False,58.66209585729832,55.640332928739625,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,methanol,0.20093905300114162,0.1633386542557374,-0.03760039874540422,-0.3904800447567554,-0.4229997488547598,False,40.7,40.7,table,existing product table,158.85961547235075,157.01198796538378
DEP,methylacetate,1.0477644951310494,0.8930259253091527,-0.1547385698218967,0.612650554929723,0.44951223913168714,False,58.33101946745017,56.54824437637754,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,"n,n-dimethylformamide",1.102475140373404,0.9067065618936592,-0.19576857847974494,0.6899451098588371,0.48299808834287944,False,61.444565354728276,59.18672896834274,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,o-xylene,0.5949649924931533,0.5388052075945778,-0.05615978489857543,0.36042691146076505,0.2925088249539557,False,92.57110033559971,89.05051382340096,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,tert-butanol,0.3810933016368067,0.3594974914428563,-0.021595810193950404,0.02089858399924159,-0.023313183710079063,False,69.31365324066074,65.03125528448322,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,tetrahydrofuran,1.1527465610962855,1.0509109475533343,-0.10183561354295123,0.7284723382248485,0.6195851896488858,False,59.80524641092493,58.157677444241536,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,tetrahydropyran,0.9169947578286193,0.848419448530088,-0.06857530929853128,0.5710238851846172,0.49213315804459973,False,71.62137168849715,69.1268109430644,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,toluene,0.7423359613398737,0.6842694069644193,-0.05806655437545438,0.4423487097809273,0.376466489958728,False,79.62074839631055,77.29117245989916,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,triethylamine,0.3231372986589998,0.27974113016093793,-0.04339616849806188,0.10845992720275101,0.04923070825549882,False,96.90275746854556,92.34691473004028,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DEP,water,-2.486574857831748,-3.702401126359804,-1.215826268528056,-3.4306302122539334,-4.6413757861345895,False,18.07,18.07,table,existing product table,158.85961547235075,157.01198796538378
DBP,"1,2-propanediol",-0.5962300941796552,-0.323645391483949,0.2725847026957062,-1.0052797695626063,-0.7508468309565386,False,61.93894896652309,58.71260810815485,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,1-propanol,0.1352397008454853,0.1772082518929023,0.04196855104741698,-0.32204399116329624,-0.2912937505749839,False,55.428077429239885,53.38642135984787,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,"2,3-dihydropyran",0.9471332941528752,0.8825770273085003,-0.06455626684437488,0.5795798185560797,0.5073909949848965,False,68.14908534645096,66.1830503911641,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,2-butanone,0.9207594624292229,0.6994027314786792,-0.22135673095054376,0.5304705033620161,0.29565821856266317,False,64.67322944764092,61.970970774354896,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,acetic acid,-0.016608361563016594,-0.0675491389246774,-0.050940777361660805,-0.5646715000184086,-0.62215540856611,False,44.97284566788983,43.78511983835725,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,acetone,1.027418131773144,0.7402429201358274,-0.2871752116373165,0.5426498281551587,0.2454222036582144,False,52.02896700085286,50.24722660293855,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,acetylacetone,0.37235974353362067,0.1522078700179391,-0.22015187351568158,0.08266613593656372,-0.15577447710007605,False,81.53046126497641,77.25924596796884,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,benzene,0.9953230937108067,0.9784047397245039,-0.016918353986302814,0.6153731349525337,0.5954781813693129,False,66.23134097506642,65.01390524875977,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,chloroform,3.9851670343801318,2.3660169976161063,-1.6191500367640255,3.588260034560623,1.9609787474611562,False,63.6951708943429,61.78663766064612,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,cyclohexane,0.22716454110228385,0.12983273969141187,-0.09733180141087197,-0.09219800859922278,-0.1957480770369089,False,76.14667727588244,74.19113166845356,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,cyclohexanol,-0.06439239873660108,0.017003342020507184,0.08139574075710826,-0.24010004045494795,-0.1536236050504399,True,106.0,106.0,table,existing product table,158.85961547235075,157.01198796538378
DBP,dichloromethane,2.7237429075145854,1.7180838087895811,-1.0056590987250043,2.3289093745153555,1.3283309704377508,False,64.0,64.0,table,existing product table,158.85961547235075,157.01198796538378
DBP,dimethyl sulfoxide,0.44899533467050573,0.2825874433944751,-0.16640789127603062,0.023319092794738056,-0.15918304404382771,False,59.61249034567642,56.77567744384933,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,diphenyl ether,0.45812369465584646,0.3735809828780686,-0.08454271177777783,0.37239198517367716,0.27822959136311065,False,130.40126291900287,126.06119532135739,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,dodecane,-0.3906812640588385,-0.45304190934224875,-0.06236064528341023,-0.3695799682714722,-0.4579144468538796,False,166.76879961841385,155.26024774607131,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,ethanol,0.1546682945548261,0.14989312003001892,-0.004775174524807191,-0.41945402662969045,-0.4321082477889649,False,42.35368339240653,41.10848242559007,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,ethyl acetate,0.7774459967433888,0.6443194499879721,-0.13312654675541669,0.4261230417254648,0.28713460626564086,False,70.74415311377821,68.98393575193623,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,ethylene glycol,-1.119840919879116,-0.8830296189306673,0.2368113009484486,-1.6336486995573267,-1.4059059355208734,False,48.66376736172253,47.10385980617775,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,heptane,-0.057223271848719615,-0.1550714089128991,-0.0978481370641795,-0.25378234270293143,-0.3693672939886356,False,101.03094986595126,95.85989021197611,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,hexane,-0.11798926431607795,-0.23881811017599508,-0.12082884585991713,-0.19974688202125837,-0.3154950332337758,False,131.6,131.6,table,existing product table,158.85961547235075,157.01198796538378
DBP,isopropanol,0.1538587763422784,0.22564614427745042,0.07178736793517201,-0.3003731153453332,-0.24427481590912528,False,55.81894389488271,53.212278100899375,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,isopropylamine,0.579036879297253,0.7622668778319714,0.18322999853471844,0.14638094754577002,0.31172378546259466,False,58.66209585729832,55.640332928739625,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,methanol,-0.20083189545684665,-0.19502800679553223,0.005803888661314427,-0.7922509932147437,-0.7813664099060295,False,40.7,40.7,table,existing product table,158.85961547235075,157.01198796538378
DBP,methylacetate,0.8470829839827123,0.6930614573719652,-0.15402152661074708,0.41196904378138577,0.24954777119449967,False,58.33101946745017,56.54824437637754,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,"n,n-dimethylformamide",0.8872551049411798,0.6460399551284133,-0.24121514981276648,0.4747250744266126,0.22233148157763344,False,61.444565354728276,59.18672896834274,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
DBP,o-xylene,0.612842063305127,0.5668370559240888,-0.04600500738103819,0.3783039822727388,0.32054067328346675,False,92.57110033559971,89.05051382340096,cosmo_cavity,route B COSMO cavity,158.85961547235075,157.01198796538378
