name,smiles,plastchem_id,cas,inchikey,molecular_weight_g_mol,flag
Isobutylisopropyldimethoxysilane,CC(C)C[Si](C(C)C)(OC)OC,1172,111439-76-0,XFAOZKNGVLIXLC-UHFFFAOYSA-N,190.35,silicon
Isobutyltrimethoxysilane,CC(C)C[Si](OC)(OC)OC,4317,18395-30-7,XYJRNCYWTVGEEG-UHFFFAOYSA-N,178.3,silicon
Methacryloxymethyltriethoxysilane,CCO[Si](COC(=O)C(=C)C)(OCC)OCC,9875,5577-72-0,UZIAQVMNAXPCJQ-UHFFFAOYSA-N,262.37,silicon
Methylphenyldiethoxysilane,CCO[Si](C)(C1=CC=CC=C1)OCC,13782,775-56-4,MNFGEHQPOWJJBH-UHFFFAOYSA-N,210.34,silicon
Methyltriacetoxysilane,CC(=O)O[Si](C)(OC(=O)C)OC(=O)C,8492,4253-34-3,TVJPBVNWVPUZBM-UHFFFAOYSA-N,220.25,silicon
Methyltrichlorosilane,C[Si](Cl)(Cl)Cl,13495,75-79-6,JLUFWMXJHAVVNN-UHFFFAOYSA-N,149.47,silicon
Methyltrimethoxysilane,CO[Si](C)(OC)OC,1479,1185-55-3,BFXIKLCIZHOAAZ-UHFFFAOYSA-N,136.22,silicon
Methyltris(methylethylketoximo)silane,CC/C(=N/O[Si](O/N=C(/CC)\C)(O/N=C(/CC)\C)C)/C,5207,22984-54-9,OGZPYBBKQGPQNU-DABLZPOSSA-N,301.46,silicon
Methyltris(trimethylsiloxy)silane,C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,4206,17928-28-8,RGMZNZABJYWAEC-UHFFFAOYSA-N,310.68,silicon
Morpholylmethylmethyldiethoxysilane,CCO[Si](C)(CN1CCOCC1)OCC,4255,18162-75-9,FAPWMSZUPGYLMD-UHFFFAOYSA-N,233.38,silicon
"N,N',N''-Tricyclohexyl-1-methylsilanetriamine",C[Si](NC1CCCCC1)(NC2CCCCC2)NC3CCCCC3,3628,15901-40-3,HDNXAGOHLKHJOA-UHFFFAOYSA-N,337.6,silicon
"N,N'-Bis(3-(trimethoxysilyl)propyl)ethylenediamine",CO[Si](CCCNCCNCCC[Si](OC)(OC)OC)(OC)OC,12456,68845-16-9,HZGIOLNCNORPKR-UHFFFAOYSA-N,384.62,silicon
"N,N,N',N'-tetramethyl-N''-[3-(trimethoxysilyl)propyl]guanidine",CN(C)C(=NCCC[Si](OC)(OC)OC)N(C)C,12666,69709-01-9,ZUEIRGBMFHHKAC-UHFFFAOYSA-N,277.44,silicon
"N,N-Diethyl-1,1,1-trimethylsilylamine",CCN(CC)[Si](C)(C)C,16089,996-50-9,JOOMLFKONHCLCJ-UHFFFAOYSA-N,145.32,silicon
"N,N-Dimethyltrimethylsilylamine",CN(C)[Si](C)(C)C,4834,2083-91-2,KAHVZNKZQFSBFW-UHFFFAOYSA-N,117.26,silicon
N-(2-Aminoethyl)-3-aminopropylmethyldimethoxysilane,CO[Si](C)(CCCNCCN)OC,7095,3069-29-2,MQWFLKHKWJMCEN-UHFFFAOYSA-N,206.36,silicon
N-(3-(Triethoxysilyl)propyl)formamide,CCO[Si](CCCNC=O)(OCC)OCC,13667,76524-94-2,ZGJZKIWPDBYTJA-UHFFFAOYSA-N,249.38,silicon
N-(3-(Trimethoxysilyl)propyl)butylamine,CCCCNCCC[Si](OC)(OC)OC,7168,31024-56-3,XCOASYLMDUQBHW-UHFFFAOYSA-N,235.4,silicon
N-(3-Triethoxysilylpropyl)ethylenediamine,CCO[Si](CCCNCCN)(OCC)OCC,9130,5089-72-5,INJVFBCDVXYHGQ-UHFFFAOYSA-N,264.44,silicon
N-(Triethoxysilylpropyl)urea,CCO[Si](CCCNC(=O)N)(OCC)OCC,5316,23779-32-0,LVNLBBGBASVLLI-UHFFFAOYSA-N,264.39,silicon
N-(Trimethylsilyl)acetamide,CC(=O)N[Si](C)(C)C,2594,13435-12-6,LWFWUJCJKPUZLV-UHFFFAOYSA-N,131.25,silicon
N-(Trimethylsilyl)imidazole,C[Si](C)(C)N1C=CN=C1,4253,18156-74-6,YKFRUJSEPGHZFJ-UHFFFAOYSA-N,140.26,silicon
N-[3-(Trimethoxysilyl)propyl]aniline,CO[Si](CCCNC1=CC=CC=C1)(OC)OC,7090,3068-76-6,KBJFYLLAMSZSOG-UHFFFAOYSA-N,255.38,silicon
N-[3-(Trimethoxysilyl)propyl]ethylenediamine,CO[Si](CCCNCCN)(OC)OC,4144,1760-24-3,PHQOGHDTIVQXHL-UHFFFAOYSA-N,222.36,silicon
N-Methyl-N-(trimethylsilyl)trifluoroacetamide,CN(C(=O)C(F)(F)F)[Si](C)(C)C,5475,24589-78-4,MSPCIZMDDUQPGJ-UHFFFAOYSA-N,199.25,silicon
N-Methylaminopropyltrimethoxysilane,CNCCC[Si](OC)(OC)OC,7094,3069-25-8,DVYVMJLSUSGYMH-UHFFFAOYSA-N,193.32,silicon
"N1-(2-Aminoethyl)-N2-(3-(trimethoxysilyl)propyl)ethane-1,2-diamine",CO[Si](CCCNCCNCCN)(OC)OC,7694,35141-30-1,NHBRUUFBSBSTHM-UHFFFAOYSA-N,265.43,silicon
Octadecyltrichlorosilane,CCCCCCCCCCCCCCCCCC[Si](Cl)(Cl)Cl,1204,112-04-9,PYJJCSYBSYXGQQ-UHFFFAOYSA-N,387.9,silicon
Octaethylcyclotetrasiloxane,CC[Si]1(O[Si](O[Si](O[Si](O1)(CC)CC)(CC)CC)(CC)CC)CC,3155,1451-99-6,XOCOMEGNVMCRMP-UHFFFAOYSA-N,408.8,silicon
Octamethylcyclotetrasilazane,C[Si]1(N[Si](N[Si](N[Si](N1)(C)C)(C)C)(C)C)C,304,1020-84-4,FIADVASZMLCQIF-UHFFFAOYSA-N,292.68,silicon
Octamethylcyclotetrasiloxane,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,9841,556-67-2,HMMGMWAXVFQUOA-UHFFFAOYSA-N,296.61,silicon
Octamethyltrisiloxane,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,772,107-51-7,CXQXSVUQTKDNFP-UHFFFAOYSA-N,236.53,silicon
"Octanethioic acid, S-[3-(triethoxysilyl)propyl] ester",CCCCCCCC(=O)SCCC[Si](OCC)(OCC)OCC,5056,220727-26-4,JPPLPDOXWBVPCW-UHFFFAOYSA-N,364.6,silicon
Octyltrichlorosilane,CCCCCCCC[Si](Cl)(Cl)Cl,9454,5283-66-9,RCHUVCPBWWSUMC-UHFFFAOYSA-N,247.7,silicon
p-(t-Butyl)phenethyldimethylchlorosilane,CC(C)(C)C1=CC=C(C=C1)CC[Si](C)(C)Cl,15598,93502-75-1,YHAOQDUDNXJPIG-UHFFFAOYSA-N,254.87,silicon
Pentyltrichlorosilane,CCCCC[Si](Cl)(Cl)Cl,778,107-72-2,KWDQAHIRKOXFAV-UHFFFAOYSA-N,205.6,silicon
Pentyltriethoxysilane,CCCCC[Si](OCC)(OCC)OCC,6540,2761-24-2,FHVAUDREWWXPRW-UHFFFAOYSA-N,234.41,silicon
Phenethyltrichlorosilane,C1=CC=C(C=C1)CC[Si](Cl)(Cl)Cl,15674,940-41-0,FMYXZXAKZWIOHO-UHFFFAOYSA-N,239.6,silicon
Phenyltrichlorosilane,C1=CC=C(C=C1)[Si](Cl)(Cl)Cl,15991,98-13-5,ORVMIVQULIKXCP-UHFFFAOYSA-N,211.5,silicon
Phenyltriethoxysilane,CCO[Si](C1=CC=CC=C1)(OCC)OCC,13987,780-69-8,JCVQKRGIASEUKR-UHFFFAOYSA-N,240.37,silicon
Phenyltrimethoxysilane,CO[Si](C1=CC=CC=C1)(OC)OC,6943,2996-92-1,ZNOCGWVLWPVKAO-UHFFFAOYSA-N,198.29,silicon
Phenyltris(trimethylsiloxy)silane,C[Si](C)(C)O[Si](C1=CC=CC=C1)(O[Si](C)(C)C)O[Si](C)(C)C,4902,2116-84-9,LINXHFKHZLOLEI-UHFFFAOYSA-N,372.75,silicon
Propyltrichlorosilane,CCC[Si](Cl)(Cl)Cl,2982,141-57-1,DOEHJNBEOVLHGL-UHFFFAOYSA-N,177.53,silicon
"Silanamine, 1,1,1-triethoxy-N,N-diethyl-",CCN(CC)[Si](OCC)(OCC)OCC,7687,35077-00-0,KOFGHHIZTRGVAF-UHFFFAOYSA-N,235.4,silicon
"Silane, 1,2-ethanediylbis[dichloromethyl-",C[Si](CC[Si](C)(Cl)Cl)(Cl)Cl,7523,3353-69-3,VFURVLVRHAMJKG-UHFFFAOYSA-N,256.1,silicon
"Silane, 1,2-ethynediylbis[ethynylmethylphenyl-",C[Si](C#C)(C#C[Si](C)(C#C)C1=CC=CC=C1)C2=CC=CC=C2,2038,125499-28-7,MEGRBGJPKQYVFY-UHFFFAOYSA-N,314.5,silicon
"Silane, [2-[3(or 4)-(chloromethyl)phenyl]ethyl]trimethoxy-",CO[Si](CCC1=CC=C(C=C1)CCl)(OC)OC,11961,68128-25-6,IOLWRXMELRWXQY-UHFFFAOYSA-N,274.81,silicon
"Silane, chlorodimethyloctyl-",CCCCCCCC[Si](C)(C)Cl,4256,18162-84-0,DBKNGKYVNBJWHL-UHFFFAOYSA-N,206.83,silicon
"Silane, dichloro(2-chloroethyl)methyl-",C[Si](CCCl)(Cl)Cl,13905,7787-85-1,DBWSTBGNSJEPFT-UHFFFAOYSA-N,177.53,silicon
"Silane, dichlorododecylmethyl-",CCCCCCCCCCCC[Si](C)(Cl)Cl,4319,18407-07-3,ZAADUWCLWTWDSZ-UHFFFAOYSA-N,283.3,silicon
"Silanetriamine, N,N',N'',1-tetramethyl-",CN[Si](C)(NC)NC,4268,18209-75-1,OSCCDXHPMYNADD-UHFFFAOYSA-N,133.27,silicon
"Silicic acid (H6Si2O7), hexaethyl ester",CCO[Si](OCC)(OCC)O[Si](OCC)(OCC)OCC,4970,2157-42-8,GYTROFMCUJZKNA-UHFFFAOYSA-N,342.53,silicon
"Silicic acid, ethyl ester",CCO[Si](=O)O,1069,11099-06-2,JDAIJCNBFIWLJJ-UHFFFAOYSA-N,106.15,silicon
Silicon tetraacetate,CC(=O)O[Si](OC(=O)C)(OC(=O)C)OC(=O)C,9938,562-90-3,YZVRVDPMGYFCGL-UHFFFAOYSA-N,264.26,silicon
tert-Butylchlorodiphenylsilane,CC(C)(C)[Si](C1=CC=CC=C1)(C2=CC=CC=C2)Cl,10243,58479-61-1,MHYGQXWCZAYSLJ-UHFFFAOYSA-N,274.86,silicon
Tert-Butyldimethylsilyl chloride,CC(C)(C)[Si](C)(C)Cl,4254,18162-48-6,BCNZYOJHNLTNEZ-UHFFFAOYSA-N,150.72,silicon
Tetra-(methylethylketoxime)silane,CC/C(=N/O[Si](O/N=C(/CC)\C)(O/N=C(/CC)\C)O/N=C(/CC)\C)/C,7595,34206-40-1,INETXKGLHYNTHK-AQWWNALJSA-N,372.53,silicon
Tetraethyl orthosilicate,CCO[Si](OCC)(OCC)OCC,13947,78-10-4,BOTDANWDWHJENH-UHFFFAOYSA-N,208.33,silicon
Tetrakis(2-butoxyethyl) orthosilicate,CCCCOCCO[Si](OCCOCCCC)(OCCOCCCC)OCCOCCCC,4392,18765-38-3,KWBZWRZCDGHBIQ-UHFFFAOYSA-N,496.7,silicon
Tetrakis(2-ethoxyethyl) orthosilicate,CCOCCO[Si](OCCOCC)(OCCOCC)OCCOCC,4320,18407-94-8,OTTUQUOINFJTBJ-UHFFFAOYSA-N,384.54,silicon
Tetrakis(2-methoxyethoxy)silane,COCCO[Si](OCCOC)(OCCOC)OCCOC,4971,2157-45-1,JSECNWXDEZOMPD-UHFFFAOYSA-N,328.43,silicon
Tetrakis(vinyldimethylsiloxy)silane,C[Si](C)(C=C)O[Si](O[Si](C)(C)C=C)(O[Si](C)(C)C=C)O[Si](C)(C)C=C,10485,60111-54-8,JMTMWSZLPHDWBQ-UHFFFAOYSA-N,432.9,silicon
Tetramethoxysilane,CO[Si](OC)(OC)OC,11956,681-84-5,LFQCEHFDDXELDD-UHFFFAOYSA-N,152.22,silicon
Tetramethylsilane,C[Si](C)(C)C,13492,75-76-3,CZDYPVPMEAXLPK-UHFFFAOYSA-N,88.22,silicon
Tetrapropyl orthosilicate,CCCO[Si](OCCC)(OCCC)OCCC,12056,682-01-9,ZQZCOBSUOFHDEE-UHFFFAOYSA-N,264.43,silicon
trans-(2-Chlorovinyl)dimethylethoxysilane,CCO[Si](C)(C)/C=C/Cl,2157,128595-84-6,CDRKALGDLCSMSG-AATRIKPKSA-N,164.7,silicon
"Trichloro(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)silane",C(C[Si](Cl)(Cl)Cl)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,14016,78560-45-9,PISDRBMXQBSCIP-UHFFFAOYSA-N,481.5,silicon
Trichloro(3-chloropropyl)silane,C(C[Si](Cl)(Cl)Cl)CCl,5888,2550-06-3,OOXSLJBUMMHDKW-UHFFFAOYSA-N,212,silicon
Trichlorovinylsilane,C=C[Si](Cl)(Cl)Cl,13502,75-94-5,GQIUQDDJKHLHTB-UHFFFAOYSA-N,161.48,silicon
Triethoxy(3-isocyanatopropyl)silane,CCO[Si](CCCN=C=O)(OCC)OCC,5525,24801-88-5,FRGPKMWIYVTFIQ-UHFFFAOYSA-N,247.36,silicon
Triethoxy(3-thiocyanatopropyl)silane,CCO[Si](CCCSC#N)(OCC)OCC,7652,34708-08-2,HKMVWLQFAYGKSI-UHFFFAOYSA-N,263.43,silicon
Triethoxy(propyl)silane,CCC[Si](OCC)(OCC)OCC,5886,2550-02-9,NBXZNTLFQLUFES-UHFFFAOYSA-N,206.35,silicon
Triethoxymethylsilane,CCO[Si](C)(OCC)OCC,4721,2031-67-6,CPUDPFPXCZDNGI-UHFFFAOYSA-N,178.3,silicon
Triethoxyoctylsilane,CCCCCCCC[Si](OCC)(OCC)OCC,6864,2943-75-1,MSRJTTSHWYDFIU-UHFFFAOYSA-N,276.49,silicon
Triethylsilane,CC[SiH](CC)CC,10699,617-86-7,AQRLNPVMDITEJU-UHFFFAOYSA-N,116.28,silicon
Triisopropylsilyl acrylate,CC(C)[Si](C(C)C)(C(C)C)OC(=O)C=C,3591,157859-20-6,PQSIXYSSKXAOFE-UHFFFAOYSA-N,228.4,silicon
"Trimethoxy(3,3,3-trifluoropropyl)silane",CO[Si](CCC(F)(F)F)(OC)OC,8524,429-60-7,JLGNHOJUQFHYEZ-UHFFFAOYSA-N,218.25,silicon
"Trimethoxy(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)silane",CO[Si](CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(OC)OC,14713,85857-16-5,BVQYIDJXNYHKRK-UHFFFAOYSA-N,468.28,silicon
Trimethoxypropylsilane,CCC[Si](OC)(OC)OC,728,1067-25-0,HQYALQRYBUJWDH-UHFFFAOYSA-N,164.27,silicon
Trimethylchlorosilane,C[Si](C)(C)Cl,13493,75-77-4,IJOOHPMOJXWVHK-UHFFFAOYSA-N,108.64,silicon
Trimethylsilanol,C[Si](C)(C)O,723,1066-40-6,AAPLIUHOKVUFCC-UHFFFAOYSA-N,90.2,silicon
Trimethylsilyl acetate,CC(=O)O[Si](C)(C)C,6527,2754-27-0,QHUNJMXHQHHWQP-UHFFFAOYSA-N,132.23,silicon
Trimethylsilyl trifluoromethanesulfonate,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,6538,27607-77-8,FTVLMFQEYACZNP-UHFFFAOYSA-N,222.26,silicon
Trimethylsilyl trihydrogen silicate,C[Si](C)(C)O[Si](O)(O)O,9941,56275-01-5,MNTALGTVSQTALQ-UHFFFAOYSA-N,168.3,silicon
Tris(2-methoxyethoxy)vinylsilane,COCCO[Si](C=C)(OCCOC)OCCOC,731,1067-53-4,WOXXJEVNDJOOLV-UHFFFAOYSA-N,280.39,silicon
Tris(dimethylamino)methylsilane,CN(C)[Si](C)(N(C)C)N(C)C,8012,3768-57-8,AHKKZIUZTWZKDR-UHFFFAOYSA-N,175.35,silicon
Vinyltriacetoxysilane,CC(=O)O[Si](C=C)(OC(=O)C)OC(=O)C,8346,4130-08-9,NOZAQBYNLKNDRT-UHFFFAOYSA-N,232.26,silicon
Vinyltriethoxysilane,CCO[Si](C=C)(OCC)OCC,13946,78-08-0,FWDBOZPQNFPOLF-UHFFFAOYSA-N,190.31,silicon
Vinyltriisopropoxysilane,CC(C)O[Si](C=C)(OC(C)C)OC(C)C,4229,18023-33-1,MABAWBWRUSBLKQ-UHFFFAOYSA-N,232.39,silicon
Vinyltrimethoxysilane,CO[Si](C=C)(OC)OC,6553,2768-02-7,NKSJNEHGWDZZQF-UHFFFAOYSA-N,148.23,silicon
Vinyltrimethylsilane,C[Si](C)(C)C=C,13531,754-05-2,GCSJLQSCSDMKTP-UHFFFAOYSA-N,100.23,silicon
Vinyltris(methoxypropoxy)silane,COCCCO[Si](C=C)(OCCCOC)OCCCOC,7024,303746-21-6,XSUJDDNOLKLDLF-UHFFFAOYSA-N,322.47,silicon
Vinyltris(tert-butylperoxy)silane,CC(C)(C)OO[Si](C=C)(OOC(C)(C)C)OOC(C)(C)C,3388,15188-09-7,WCAGGTLUGWSHOV-UHFFFAOYSA-N,322.47,silicon
4-(tert-Butyldimethylsilyloxy)phenylboronic acid,B(C1=CC=C(C=C1)O[Si](C)(C)C(C)(C)C)(O)O,3635,159191-56-7,NVHHEADQQACSCJ-UHFFFAOYSA-N,252.19,silicon+boron
