name,smiles,plastchem_id,cas,inchikey,molecular_weight_g_mol,flag
"1,3-Bis(trimethylsilyl)urea",C[Si](C)(C)NC(=O)N[Si](C)(C)C,4303,18297-63-7,MASDFXZJIDNRTR-UHFFFAOYSA-N,204.42,silicon
"1,3-Diethoxy-1,1,3,3-tetramethyldisiloxane",CCO[Si](C)(C)O[Si](C)(C)OCC,4323,18420-09-2,NPOYZXWZANURMM-UHFFFAOYSA-N,222.43,silicon
"1,6-Hexanediamine, N-((triethoxysilyl)methyl)-",CCO[Si](CNCCCCCCN)(OCC)OCC,3377,15129-36-9,RRQTYXHHYIJDFB-UHFFFAOYSA-N,292.49,silicon
1-[3-(Trimethoxysilyl)propyl]urea,CO[Si](CCCNC(=O)N)(OC)OC,5322,23843-64-3,LVACOMKKELLCHJ-UHFFFAOYSA-N,222.31,silicon
"1-Propanethiol, 3-(triethoxysilyl)-",CCO[Si](CCCS)(OCC)OCC,3273,14814-09-6,DCQBZYNUSLHVJC-UHFFFAOYSA-N,238.42,silicon
"1H-Imidazole, 4,5-dihydro-1-[3-(triethoxysilyl)propyl]-",CCO[Si](CCCN1CCN=C1)(OCC)OCC,10187,58068-97-6,WBUSESIMOZDSHU-UHFFFAOYSA-N,274.43,silicon
"2,2,4-Trimethyl-1-oxa-4-aza-2-silacyclohexane",CN1CCO[Si](C1)(C)C,274,10196-49-3,GGPLWEZGITVTJX-UHFFFAOYSA-N,145.27,silicon
"2,2-Bis[(4-trimethylsiloxy)phenyl]propane",CC(C)(C1=CC=C(C=C1)O[Si](C)(C)C)C2=CC=C(C=C2)O[Si](C)(C)C,8576,4387-16-0,QLAHMUJINXIWJF-UHFFFAOYSA-N,372.6,silicon
"2,4,6,8-Tetramethyl-2,4,6,8-tetravinylcyclotetrasiloxane",C[Si]1(O[Si](O[Si](O[Si](O1)(C)C=C)(C)C=C)(C)C=C)C=C,5899,2554-06-5,VMAWODUEPLAHOE-UHFFFAOYSA-N,344.66,silicon
"2,4-Hexadienoic acid, 3-(trimethoxysilyl)propyl ester, (2E,4E)-",C/C=C/C=C/C(=O)OCCC[Si](OC)(OC)OC,3816,163802-53-7,BEEJHAQLEWGNOO-SBIWHPGTSA-N,274.38,silicon
"2,5-Furandione, dihydro-3-[3-(triethoxysilyl)propyl]-",CCO[Si](CCCC1CC(=O)OC1=O)(OCC)OCC,15610,93642-68-3,GXDMUOPCQNLBCZ-UHFFFAOYSA-N,304.41,silicon
"2-(2,2-Dimethoxy-1,2-azasilolidin-1-yl)ethan-1-amine",CO[Si]1(CCCN1CCN)OC,10820,618914-51-5,TZBLRTMGLVRDRL-UHFFFAOYSA-N,190.32,silicon
"2-(3,4-Epoxycyclohexyl)ethyltrimethoxysilane",CO[Si](CCC1CCC2C(C1)O2)(OC)OC,426,103432-54-8,DQZNLOXENNXVAD-UHFFFAOYSA-N,246.37,silicon
"2-(3,4-Epoxycyclohexyl)ethyltrimethoxysilane",CO[Si](CCC1CCC2C(C1)O2)(OC)OC,7564,3388-04-3,DQZNLOXENNXVAD-UHFFFAOYSA-N,246.37,silicon
"2-Butanone, O,O',O''-(ethenylsilylidyne)trioxime",CCC(=NO[Si](C=C)(ON=C(C)CC)ON=C(C)CC)C,5092,2224-33-1,WXWYJCSIHQKADM-UHFFFAOYSA-N,313.47,silicon
2-hydroxyethyl N-(3-triethoxysilylpropyl)carbamate,CCO[Si](CCCNC(=O)OCCO)(OCC)OCC,7943,37251-86-8,WSSVPRYHKOFCRD-UHFFFAOYSA-N,309.43,silicon
"2-Methyl-3,5-dinitrobenzyl alcohol, tert-butyldimethylsilyl ether",CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])CO[Si](C)(C)C(C)(C)C,17430,,NNEICSQGOKPCLO-UHFFFAOYSA-N,326.42,silicon
"2-Propenoic acid, 2-methyl-, (trimethoxysilyl)methyl ester",CC(=C)C(=O)OC[Si](OC)(OC)OC,9701,54586-78-6,UOKUUKOEIMCYAI-UHFFFAOYSA-N,220.29,silicon
3-(Chlorodimethylsilyl)propyl methacrylate,CC(=C)C(=O)OCCC[Si](C)(C)Cl,5492,24636-31-5,OKQXCDUCLYWRHA-UHFFFAOYSA-N,220.77,silicon
3-(Diethoxymethylsilyl)propylamine,CCO[Si](C)(CCCN)OCC,7283,3179-76-8,HXLAEGYMDGUSBD-UHFFFAOYSA-N,191.34,silicon
3-(Dimethoxymethylsilyl)propylamine,CO[Si](C)(CCCN)OC,7867,3663-44-3,ZYAASQNKCWTPKI-UHFFFAOYSA-N,163.29,silicon
3-(Triethoxysilyl)propionitrile,CCO[Si](CCC#N)(OCC)OCC,15441,919-31-3,GBQYMXVQHATSCC-UHFFFAOYSA-N,217.34,silicon
3-(Triethoxysilyl)propyl methacrylate,CCO[Si](CCCOC(=O)C(=C)C)(OCC)OCC,4896,21142-29-0,URDOJQUSEUXVRP-UHFFFAOYSA-N,290.43,silicon
3-(Trimethoxysilyl)propyl acetate,CC(=O)OCCC[Si](OC)(OC)OC,10321,59004-18-1,FZTPAOAMKBXNSH-UHFFFAOYSA-N,222.31,silicon
3-(Trimethoxysilyl)propyl acrylate,CO[Si](CCCOC(=O)C=C)(OC)OC,8569,4369-14-6,KBQVDAIIQCXKPI-UHFFFAOYSA-N,234.32,silicon
3-(Trimethoxysilyl)propyl methacrylate,CC(=C)C(=O)OCCC[Si](OC)(OC)OC,5839,2530-85-0,XDLMVUHYZWKMMD-UHFFFAOYSA-N,248.35,silicon
3-(Tris(acetoxy)silyl)propyl methacrylate,CC(=C)C(=O)OCCC[Si](OC(=O)C)(OC(=O)C)OC(=O)C,9268,51772-85-1,MLOKHANBEXWBKS-UHFFFAOYSA-N,332.38,silicon
